Unnamed: 0,Job Title,Job Description,cleaned_jd,location,job_type,experience_required,extracted_skills,extracted_location,jd_id
22,Wordpress Developer,"Position: WordPress Developer
Location: Prahladnagar, Ahmedabad
Experience: 4 to 8 Years
Working Timings: 10:00 AM to 7:00 PM

Working Days: Alt Sat Off

WordPress Developer Responsibilities:

· Meeting with clients to discuss website design and function.

· Designing and building the website front-end.

· Creating the website architecture.

· Designing and managing the website back-end including database and server integration.

· Generating WordPress themes and plugins.

· Conducting website performance tests.

· Troubleshooting content issues.

· Conducting WordPress training with the client.

· Monitoring the performance of the live website.

·

WordPress Developer Requirements:

· Bachelor’s degree in Computer Science or a similar field.

· Proven work experience as a WordPress Developer.

· Knowledge of front-end technologies including CSS3, JavaScript, HTML5, and jQuery.

· Knowledge of code versioning tools including Git, Mercurial, and SVN.

· Experience working with debugging tools such as Chrome Inspector and Firebug.

· Good understanding of website architecture and aesthetics.

· Ability to project manage.

· Good communication skills.

Job Type: Full-time

Salary: ₹25,000.00 - ₹70,000.00 per month

Schedule:
Day shift
Experience:
WordPress: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No",position wordpress developer location prahladnagar ahmedabad experience 4 to 8 years working timings 1000 am to 700 pm working days alt sat off wordpress developer responsibilities  meeting with clients to discuss website design and function  designing and building the website frontend  creating the website architecture  designing and managing the website backend including database and server integration  generating wordpress themes and plugins  conducting website performance tests  troubleshooting content issues  conducting wordpress training with the client  monitoring the performance of the live website  wordpress developer requirements  bachelors degree in computer science or a similar field  proven work experience as a wordpress developer  knowledge of frontend technologies including css3 javascript html5 and jquery  knowledge of code versioning tools including git mercurial and svn  experience working with debugging tools such as chrome inspector and firebug  good understanding of website architecture and aesthetics  ability to project manage  good communication skills job type fulltime salary 2500000  7000000 per month schedule day shift experience wordpress 1 year preferred work 1 year preferred total work 1 year preferred education bachelors preferred work remotely no,"Ahmedabad, India",Remote,,"['jquery', 'javascript', 'git']","Ahmedabad, India",0
30,JavaScript Developer,"No relocation needed, can telework from home, required good Internet*
Who is TEKgile?*
We are a tech company that works with our international partners to deliver modern apps and software for various types of businesses. We work with global companies and various clients to always push the limits of web and server applications.
Why would I want to be a JavaScript Developer at TEKgile?*
TEKgile and our International partner company aims to continue its growth trajectory in Japan and have a variety of geospatial web app projects to work on. Software and app improvements are vital to the success of the company and are looking to grow our team to add new features to what is being offered. You will be working with our Product Manager, who is based in Japan as well as our Technical manager in Trivandrum. The team focuses on all product life cycle, bugs, and features that relate to the existing clients and future needs of the project.

The JavaScript Developer role is focused on building various web app dashboards focused around geospatial data, and continuing to grow the functionality and capabilities of our frameworks. Responsibilities include helping to grow the features of existing projects and new projects. You would be partnered with other team members to assist with various DevOps tasks.
We are looking for someone that is: *
Looking to take ownership of your tasks and be held accountable for their quality and completion
Interested in modern applications
Code ninja with an attention to detail
Being great at what you do and enjoy doing it
What would I be doing?*
Support the development of server and web applications that are based on JavaScript (ExtJS 6, NodeJS).
Focused on supporting the continued development and improvements to the existing and new JavaScript applications for frontend and backend.
Implementing features independently or with team members
Writing unit tests, internal and external documentation.
Debugging, and problem-solving bugs.
Working with SQL based databases
Working in the AWS Cloud environment.
What key skills and experience do I need?*
Proficiency in English
Strong understanding of and experience in JavaScript (MVC & MVVM)
Strong understanding of NodeJS, Express and ES6
Experience in web app JavaScript (Bootstrap, jQuery)
Experience in both functional and object-oriented programming
Good understanding of SQL
Experience in writing Unit Tests
It would be great if you can also bring: *
Experience in PostgreSQL and PostGIS
Experience in ExtJS 6.x
Experience in HTML/CSS
Good understanding of NoSQL (MongoDB/ElasticSearch)
Experience in Amazon AWS Lambda, API Gateway, EC2, S3, SNS, SQS
Understanding and experience in OAuth v2
What are the perks?*
Monday to Friday schedule (5 day weeks / 40 hour work weeks)
Up to 5% performance bonus (paid quarterly)
Competitive salary
Personal laptop stipend
Ability to work from home anywhere in India
Company Values*
Quality service* - We make sure all of our customers that use our product have the best experience.
Ability to adapt *- Being in a startup lifestyle and new technology space, we look for team members that are always willing to adapt to the constant change.
Pushing the limits *- We feel that there is always room to improve and be the best in our space. Everyone's input is valued and encouraged to make everything better.
Help the team *- ""How can I help?"" is a common phrase where we work. It is not only about completing your goals and tasks but important that we pitch in to help make sure the team hits their goals as well.
Job Type: Full-time

Benefits:
Paid sick time
Paid time off
Work from home
Schedule:
Day shift
Monday to Friday
Experience:
total work: 4 years (Required)
JavaScript: 3 years (Preferred)
Education:
Bachelor's (Required)
Benefits:
Paid leaves / Leave encashment
Work from home
Flexible work hours
Industry:
Software Development
Work Remotely:
Yes",no relocation needed can telework from home required good internet who is tekgile we are a tech company that works with our international partners to deliver modern apps and software for various types of businesses we work with global companies and various clients to always push the limits of web and server applications why would i want to be a javascript developer at tekgile tekgile and our international partner company aims to continue its growth trajectory in japan and have a variety of geospatial web app projects to work on software and app improvements are vital to the success of the company and are looking to grow our team to add new features to what is being offered you will be working with our product manager who is based in japan as well as our technical manager in trivandrum the team focuses on all product life cycle bugs and features that relate to the existing clients and future needs of the project the javascript developer role is focused on building various web app dashboards focused around geospatial data and continuing to grow the functionality and capabilities of our frameworks responsibilities include helping to grow the features of existing projects and new projects you would be partnered with other team members to assist with various devops tasks we are looking for someone that is  looking to take ownership of your tasks and be held accountable for their quality and completion interested in modern applications code ninja with an attention to detail being great at what you do and enjoy doing it what would i be doing support the development of server and web applications that are based on javascript extjs 6 nodejs focused on supporting the continued development and improvements to the existing and new javascript applications for frontend and backend implementing features independently or with team members writing unit tests internal and external documentation debugging and problemsolving bugs working with sql based databases working in the aws cloud environment what key skills and experience do i need proficiency in english strong understanding of and experience in javascript mvc  mvvm strong understanding of nodejs express and es6 experience in web app javascript bootstrap jquery experience in both functional and objectoriented programming good understanding of sql experience in writing unit tests it would be great if you can also bring  experience in postgresql and postgis experience in extjs 6x experience in htmlcss good understanding of nosql mongodbelasticsearch experience in amazon aws lambda api gateway ec2 s3 sns sqs understanding and experience in oauth v2 what are the perks monday to friday schedule 5 day weeks  40 hour work weeks up to 5 performance bonus paid quarterly competitive salary personal laptop stipend ability to work from home anywhere in india company values quality service  we make sure all of our customers that use our product have the best experience ability to adapt  being in a startup lifestyle and new technology space we look for team members that are always willing to adapt to the constant change pushing the limits  we feel that there is always room to improve and be the best in our space everyones input is valued and encouraged to make everything better help the team  how can i help is a common phrase where we work it is not only about completing your goals and tasks but important that we pitch in to help make sure the team hits their goals as well job type fulltime benefits paid sick time paid time off work from home schedule day shift monday to friday experience total work 4 years required javascript 3 years preferred education bachelors required benefits paid leaves  leave encashment work from home flexible work hours industry software development work remotely yes,Japan,Remote,10,"['express', 'aws', 'javascript', 'postgresql', 'jquery']",Japan,1
72,Django Developer,"Selected intern's day-to-day responsibilities include:
• Work on both front and back end coding
• Design user interactions on websites, developing databases for website functionality, integrate various frameworks.

Number of Internships available: 5

Duration - 3 Weeks

Skill(s) required - Knowledge of C, C++ programming

Who Can Apply

• B.E. / B.Tech / BCA / MCA / B.Sc. / MSc pursuing or pass-out

Perks

Certificate of Internship
Flexible work hours,
Informal dress code.
Mentoring by Industry Experts

You will learn - Develop web applications with Python language and Django framework and MySQL database

Internship Fee - Candidate needs to pay Internship enrolment fee of Rs. 2,500/- (Two Thousand Five Hundred only)
Website : https://codebetter.in
Job Location : Indore
Years of Experience : 0 Yrs - 0 Yrs
Annual CTC : 100,000 - 120,000
Venue : 403, Shekhar Central, Palasiya Square, A.B. Road, 452001",selected interns daytoday responsibilities include  work on both front and back end coding  design user interactions on websites developing databases for website functionality integrate various frameworks number of internships available 5 duration  3 weeks skills required  knowledge of c c programming who can apply  be  btech  bca  mca  bsc  msc pursuing or passout perks certificate of internship flexible work hours informal dress code mentoring by industry experts you will learn  develop web applications with python language and django framework and mysql database internship fee  candidate needs to pay internship enrolment fee of rs 2500 two thousand five hundred only website  httpscodebetterin job location  indore years of experience  0 yrs  0 yrs annual ctc  100000  120000 venue  403 shekhar central palasiya square ab road 452001,"Indore, India",Internship,,"['mysql', 'python', 'c', 'django']","Indore, India",2
108,PHP Developer,"Teamwork php back end development, maintenance, and constant improvement.
Write clean, scalable code.
Solid PHP experience (3+ years)
Strong object oriented and MVC architecture
Back end expertise
PHP framework experience (any)
MySQL Experience
Git Experience
Job Type: Full-time

Experience:
MySQL, Git: 2 years (Required)
PHP with MVC architecture: 3 years (Required)
Education:
Bachelor's (Required)
Location:
Vadodara, Gujarat (Required)
Licence:
Core PHP (Preferred)
Programming Languages needed:
PHP (Preferred)
Work Remotely:
No",teamwork php back end development maintenance and constant improvement write clean scalable code solid php experience 3 years strong object oriented and mvc architecture back end expertise php framework experience any mysql experience git experience job type fulltime experience mysql git 2 years required php with mvc architecture 3 years required education bachelors required location vadodara gujarat required licence core php preferred programming languages needed php preferred work remotely no,"Vadodara, India",Remote,,"['mysql', 'php', 'git']","Vadodara, India",3
136,iOS Developer,"We have urgent requirement at Netra Technosys.*
iOS Developer (2 Openings) Min 6 Months+ Experience.*
Salary: No Bar For Right Candidate.*
i. Candidates who has completed B.E/B.Tech/MCA/M.E can apply for this opportunity.
ii. Work on iOS development projects.
iii. Good Analytical and Problem-solving Skills.
iv. Location - Only Surat

Our office is located in Katargam, Surat (Gujarat).

Visit us at *www.netratechnosys.com* for your business queries.We are looking forward to meeting with you.

Address : 225, Shivalik Business Hub, Near Bhumi Park Society, Dabholi Road, Surat - 395004

Regards,
Dharmesh Ghoghari
+91-9998775699

NOTE : PLACEMENT CONSULTANCY ARE NOT ALLOWED TO CALL ME. STRICTLY

Job Types: Full-time, Walk-In

Salary: ₹12,000.00 - ₹15,000.00 per month

Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
iOS: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
Swift (Required)
Objective-C (Required)
Work Remotely:
No",we have urgent requirement at netra technosys ios developer 2 openings min 6 months experience salary no bar for right candidate i candidates who has completed bebtechmcame can apply for this opportunity ii work on ios development projects iii good analytical and problemsolving skills iv location  only surat our office is located in katargam surat gujarat visit us at wwwnetratechnosyscom for your business querieswe are looking forward to meeting with you address  225 shivalik business hub near bhumi park society dabholi road surat  395004 regards dharmesh ghoghari 919998775699 note  placement consultancy are not allowed to call me strictly job types fulltime walkin salary 1200000  1500000 per month experience work 1 year preferred total work 1 year preferred ios 1 year preferred education bachelors preferred programming languages needed swift required objectivec required work remotely no,"Surat, India",Remote,,"['ios', 'swift']","Surat, India",4
152,Network Administrator,"to take care fo Network and security infra. { cisco, juniper, Aruba etc.}
Position:Sr.Engineer Network Support
Organisation: InspiriSYS solution- www.inspirisys.com
Location:Chennai
Exp- 5 -6 yrs +
Budget:9 LPA Max
Qualifications: -B.E. B.Tech. , MCA
Certification:CCNP and above
Company Profile: -
InspiriSYS enables enterprises to re-imagine their businesses for the ever-changing digital world. Established in 1991, we are a leading information technology services and consulting company in India along with having a global footprint across North America, Middle East, UK, Japan, and Singapore markets.
InspiriSYS Solutions Limited is a wholly owned subsidiary of CAC Corporation (CAC), Japan.

Key Responsibilities:
Solutioning towards Network & Security requirement
Escalation lead for Network related issues
Design and implement a DC & DR environment
Flexible to extend beyond work hours towards accomplishing assigned tasks.
Planning and supporting network infrastructure
Risk analysis and mitigation (for configuring new networks)
Interaction with OEM for Highly Critical technical support of Network devices.
Responsible for Reports & Technical documentation.
Should be capable to guide the team/individual on requirement basis.
Communicate effectively with Customers
Responsible for MIS Reports/ Technical documents
Customer/Vendor Co ordination
Adhere to ITSM based Ticket Management with SLA Compliance

Key Skills:
Design and deploy functional networks (LAN, WLAN, WAN)
Strong hands on in Router, Switches, Firewall implementing & configuring
Configure, Install and Manage varied network devices and services (such as Routers, L3 & L2 Switches, Firewalls, Wireless Controller and load balancers etc.) across DC and Client Environments.
Should have experience in Managing Major Corporate/DC Networks
Experience in Routing protocols, BGP, OSPF, MPLS-VPN, DHCP, and DNS.
Experience in Firewalls VPN/Remote Access network.
Should have knowledge on IP address and subnets, Backup utilities, Monitoring Tools
Work Experience in Network Products and Visio for Reports and Technical documentation
Suggest improvements to network performance, capacity and scalability
Strong in leading OEM Cisco (preferred), Juniper, Extreme, Aruba.. etc.
Carry out tasks like network maintenance and Firmware upgrades of Network devices Across DCs at periodical intervals.
Knowledge in OS (Windows/Unix/Linux)
Experience in Network related configuration of Servers/Desktop Operating Systems
Responsible for Incident, Problem, Change Management & Service Request.
Should have Good experience in ISP Coordination and Vendor management.
Should have Good Experience in Customer Coordination (understand customer needs and providing solutions).
Should have Hands on Experience in Network Tools.
Should have Hands on Experience in Infra monitoring and management tools.
Strong in ITIL Process.

Candidate Profile:
5 - 6 years in Network & Network Security Management
Minimum 2 to 3 Implementation cycle (individual contributor)
Excellent spoken and written English Communication.
Good attitude towards corporate environment.
Team player & Mentor to the team.
Energetic, self-motivated and self-sufficient in accomplishing tasks.
Good analytical and problem solving skills.

Kindly send Ur C.V. with details like-
1. Ctc
2. Expectation
3. Notice period



Regards,
Rajesh Kumar
AAYAM CONSULTANTS
Cell:- 9311232179/ 7011595674
Land line:- 011-29258011
EMail id:- rajesh.aayam@gmail.com",to take care fo network and security infra  cisco juniper aruba etc positionsrengineer network support organisation inspirisys solution wwwinspirisyscom locationchennai exp 5 6 yrs  budget9 lpa max qualifications be btech  mca certificationccnp and above company profile  inspirisys enables enterprises to reimagine their businesses for the everchanging digital world established in 1991 we are a leading information technology services and consulting company in india along with having a global footprint across north america middle east uk japan and singapore markets inspirisys solutions limited is a wholly owned subsidiary of cac corporation cac japan key responsibilities solutioning towards network  security requirement escalation lead for network related issues design and implement a dc  dr environment flexible to extend beyond work hours towards accomplishing assigned tasks planning and supporting network infrastructure risk analysis and mitigation for configuring new networks interaction with oem for highly critical technical support of network devices responsible for reports  technical documentation should be capable to guide the teamindividual on requirement basis communicate effectively with customers responsible for mis reports technical documents customervendor co ordination adhere to itsm based ticket management with sla compliance key skills design and deploy functional networks lan wlan wan strong hands on in router switches firewall implementing  configuring configure install and manage varied network devices and services such as routers l3  l2 switches firewalls wireless controller and load balancers etc across dc and client environments should have experience in managing major corporatedc networks experience in routing protocols bgp ospf mplsvpn dhcp and dns experience in firewalls vpnremote access network should have knowledge on ip address and subnets backup utilities monitoring tools work experience in network products and visio for reports and technical documentation suggest improvements to network performance capacity and scalability strong in leading oem cisco preferred juniper extreme aruba etc carry out tasks like network maintenance and firmware upgrades of network devices across dcs at periodical intervals knowledge in os windowsunixlinux experience in network related configuration of serversdesktop operating systems responsible for incident problem change management  service request should have good experience in isp coordination and vendor management should have good experience in customer coordination understand customer needs and providing solutions should have hands on experience in network tools should have hands on experience in infra monitoring and management tools strong in itil process candidate profile 5  6 years in network  network security management minimum 2 to 3 implementation cycle individual contributor excellent spoken and written english communication good attitude towards corporate environment team player  mentor to the team energetic selfmotivated and selfsufficient in accomplishing tasks good analytical and problem solving skills kindly send ur cv with details like 1 ctc 2 expectation 3 notice period regards rajesh kumar aayam consultants cell 9311232179 7011595674 land line 01129258011 email id rajeshaayamgmailcom,"Chennai, India",Remote,3,[],"Chennai, India",5
159,Node js developer,"Job Location* - Navi Mumbai
Required Experience* - 3+ Years
The highlight of engagement opportunity: *
Technology: Node.js
Must know: Express.js (Fastify) & PostgreSQL
Number of years of experience expected: 3+ years
Areas of past experience preferred: TypeScript, VueJs, Rest, Crud
Educational qualification expected: Bachelor’s degree and above (preferably in the field of Information Technology and Computer Science and with overall aggregate of 60% - although not mandatory )
Additional qualifications/ certifications required: No
Key responsibility areas: *
Development of server-side apps projects within the company
Writing reusable, testable, and efficient code
Design and implementation of low-latency, high-availability, and performant applications
Implementation of security and data protection
Coordination with Project Manager and Operations Head for the execution of the project
Coordination with clients while implementing the project
Proactive to take responsibility for the delivery
Key requirements: *
Should have mandatory experience in Node.js platform
We work in NestJs. Should be ready to open to work in NestJs.
Understanding the nature of asynchronous programming and its quirks and workarounds
User authentication and authorization between multiple systems, servers, and environments
Should have knowledge of server-side app architectures, Promises, Events, JavaScript standards and best practices
Should have excellent logical skills
Write clear and manageable code
Creating database schemas that represent and support business processes
Implementing automated testing platforms and unit tests
Proficient understanding of code versioning tools, such as Git
Should be able to work on third-party libraries and APIs.
Should have knowledge of optimizing application’s performance and memory consumption
Create structure and documentation of the developed applications
Responsible for periodic project management updates to clients
Key skills required: *
Node.js
PostgreSQL
ExpressJS
TypeScript
Expected Start Date: 15/11/2020

Job Type: Full-time

Salary: ₹500,000.00 - ₹800,000.00 per year

Schedule:
Day shift
Experience:
Node.js: 3 years (Required)
Education:
Bachelor's (Preferred)
Location:
Navi Mumbai, Maharashtra (Preferred)
Work Remotely:
Temporarily due to COVID-19",job location  navi mumbai required experience  3 years the highlight of engagement opportunity  technology nodejs must know expressjs fastify  postgresql number of years of experience expected 3 years areas of past experience preferred typescript vuejs rest crud educational qualification expected bachelors degree and above preferably in the field of information technology and computer science and with overall aggregate of 60  although not mandatory  additional qualifications certifications required no key responsibility areas  development of serverside apps projects within the company writing reusable testable and efficient code design and implementation of lowlatency highavailability and performant applications implementation of security and data protection coordination with project manager and operations head for the execution of the project coordination with clients while implementing the project proactive to take responsibility for the delivery key requirements  should have mandatory experience in nodejs platform we work in nestjs should be ready to open to work in nestjs understanding the nature of asynchronous programming and its quirks and workarounds user authentication and authorization between multiple systems servers and environments should have knowledge of serverside app architectures promises events javascript standards and best practices should have excellent logical skills write clear and manageable code creating database schemas that represent and support business processes implementing automated testing platforms and unit tests proficient understanding of code versioning tools such as git should be able to work on thirdparty libraries and apis should have knowledge of optimizing applications performance and memory consumption create structure and documentation of the developed applications responsible for periodic project management updates to clients key skills required  nodejs postgresql expressjs typescript expected start date 15112020 job type fulltime salary 50000000  80000000 per year schedule day shift experience nodejs 3 years required education bachelors preferred location navi mumbai maharashtra preferred work remotely temporarily due to covid19,"Mumbai, India",Remote,10,"['postgresql', 'typescript', 'javascript', 'git']","Mumbai, India",6
191,PHP Developer,"Hi,

Greetings from ZUAN for #php #developer

* 1+ years hands-on experience in PHP and knowledge in Laravel, Codeigniter, Bootstrap, and the JavaScript

* Write code to connect to web services and databases, using REST and other technologies.

* Knowledge of Git & CI tools

* Code optimization and performance improvements experience

* Write well designed, testable, efficient code

*Job Type: * Full-time

*Salary: * Rs.12,000 - Rs.30,000 per month

*Experience: *
Total Work Experience: 1 year to 3 Years (Preferred)

*Education: *
Bachelor's (Preferred)

*Programming Languages needed: *
PHP (Required)
HTML (Required)
CSS (Required)
JavaScript (Required)

Job Type: Full-time

Salary: ₹12,000.00 - ₹30,000.00 per month

Schedule:
* Morning shift

Experience:
* Php: 1 year (Preferred)

Location:
* Chennai, Tamil Nadu (Preferred)

Industry:
* Software Development

Work Remotely:
* No",hi greetings from zuan for php developer  1 years handson experience in php and knowledge in laravel codeigniter bootstrap and the javascript  write code to connect to web services and databases using rest and other technologies  knowledge of git  ci tools  code optimization and performance improvements experience  write well designed testable efficient code job type  fulltime salary  rs12000  rs30000 per month experience  total work experience 1 year to 3 years preferred education  bachelors preferred programming languages needed  php required html required css required javascript required job type fulltime salary 1200000  3000000 per month schedule  morning shift experience  php 1 year preferred location  chennai tamil nadu preferred industry  software development work remotely  no,"Chennai, India",Remote,,"['laravel', 'html', 'css', 'javascript', 'git', 'php']","Chennai, India",7
209,Django Developer,"Python Developer Job DescriptionWe are looking for a Python Web Developer responsible for developing complex structure and data analysis applications. The primary focus will be the development of the administration portal of a new product collecting mobile network measurements from a mobile application with a team leading role. You will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well.
Responsibilities
– Writing reusable, testable, and efficient code.
– Design and implementation of low-latency, high-availability, and performant applications.
– Develop cloud-based Python Django software products.
– Designing and creating RESTful APIs for internal and partner consumption.
– Implementation of security and data protection.
– Working in waterfall and an agile environment with an excellent team of engineers
Required Experience, Skills and Qualifications
– Expert in Python, with knowledge of at least one Python web framework (such as Django, Flask, etc depending on your technology stack).
– Familiarity with some ORM (Object Relational Mapper) libraries.
– Able to integrate multiple data sources and databases into one system.
– Solid database skills in a relational database (i.e. PostgresSQL, MySQL, etc.)
– Knowledge of how to build and use with RESTful APIs.
– Strong knowledge of version control (i.e. git, svn, etc.).
– Experience deploying Python applications into production.
– Amazon Web Services (AWS) infrastructure knowledge is a plus
– Experience: Python/Django Developer: 2+ years
– Education: Bachelor’s (Required)
– Location: Ahmedabad, Gujarat (Required)

Job Types: Full-time, Contract

Salary: ₹350,000.00 - ₹600,000.00 per year

Experience:
total work: 3 years (Preferred)
Django: 2 years (Preferred)
flask: 2 years (Preferred)
Python: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19",python developer job descriptionwe are looking for a python web developer responsible for developing complex structure and data analysis applications the primary focus will be the development of the administration portal of a new product collecting mobile network measurements from a mobile application with a team leading role you will also be responsible for integrating the frontend elements built by your coworkers into the application therefore a basic understanding of frontend technologies is necessary as well responsibilities  writing reusable testable and efficient code  design and implementation of lowlatency highavailability and performant applications  develop cloudbased python django software products  designing and creating restful apis for internal and partner consumption  implementation of security and data protection  working in waterfall and an agile environment with an excellent team of engineers required experience skills and qualifications  expert in python with knowledge of at least one python web framework such as django flask etc depending on your technology stack  familiarity with some orm object relational mapper libraries  able to integrate multiple data sources and databases into one system  solid database skills in a relational database ie postgressql mysql etc  knowledge of how to build and use with restful apis  strong knowledge of version control ie git svn etc  experience deploying python applications into production  amazon web services aws infrastructure knowledge is a plus  experience pythondjango developer 2 years  education bachelors required  location ahmedabad gujarat required job types fulltime contract salary 35000000  60000000 per year experience total work 3 years preferred django 2 years preferred flask 2 years preferred python 3 years preferred education bachelors preferred work remotely temporarily due to covid19,"Ahmedabad, India",Contract,4,"['mysql', 'flask', 'aws', 'python', 'git', 'agile', 'django']","Ahmedabad, India",8
210,DevOps Engineer,"DevOps Engineer
Date: Oct 12, 2020
Location:

Hyderabad, India, India, Hyderabad, India

Job Category:

Idaptive was recently acquired by CyberArk, the global leader in privileged access management. Together, CyberArk and Idaptive will deliver the industry’s only modern identity platform with a security-first approach.

Our comprehensive SaaS solution runs primarily on Amazon AWS and provides a multi-tenant, highly scalable environment, spanning multiple regions, and leveraging a wide range of Amazon’s AWS technologies (Traditional, Container based and Serverless).

Idaptive is looking for talented, motivated individuals who would like to help us design, build, support the next generation of integrated software solutions as we redefine security from a legacy static perimeter-based approach to protecting millions of scattered connections in a boundaryless hybrid enterprise!

Our software runs on public clouds with 99.9% or better uptime and is mission critical for our customers. Our cloud operations team is where the rubber meets the road and needs innovative SREs. Join a professional team of smart and hard-working professionals building enterprise-class cloud-based services in the rapidly growing market of Identity and Access Management.

As a DevOps Engineer, you’ll be part of the Cloud Operations team. Together with the team you’ll be responsible for maintaining, monitoring and alerting on our application uptime, and manage deployment and escalations.

RESPONSIBILITIES:

· Support mission critical customer facing production environments

· Improve our CI/CD pipeline for reliability and scalability

· Improve our cloud infrastructure (AWS), monitoring and overall stability of our platform

· Work closely with release engineering to support, deploy, maintain, and troublehshoot our CI/CD pipeline

· 50% of your time should be spent automating the deployment pipeline to self-manage and self-heal and the other 50% of your time dealing with software deploy, incidents response, on-call duty and manual intervention

· Participate in on-call rotation for 24x7 support

REQUIREMENTS:

· B.S. or higher degree in Computer Science or other technical discipline, or related practical experience

· 3+ years professional SRE/DevOps experience

· 2+ years experience in public clouds (AWS highly preferred)

· 2+ years experience with CI/CD pipeline automation preferable in AWS

· Strong experience with CI/CD and Infrastructure-As-Code tools such as Salt, Puppet, Chef, Jenkins, BitBucket, TerraForm, Consul, Vault.

· Strong understanding of containerization technologies like Docker, Kubernetes, ECS, EKS.

· Strong understanding and knowledge of modern monitoring and logging tools such as ELK stack, Nagios, Prometheus, Grafana, AWS CloudWatch.

· Proficient in managing Windows and Linux servers

· Familiar with AWS ecosystem including ES, RDS, S3, ELB, ElastiCache/Redis, CloudTrail, GuardDuty, Inspector

· Scripting skills (Python, PowerShell, Bash)

· Experience with database and caching (RDS Postgres, ElastiCache/Redis)

· Excellent communication and documentation skills

· Attention to detail, ability to multi-task, and strong interpersonal skills required.",devops engineer date oct 12 2020 location hyderabad india india hyderabad india job category idaptive was recently acquired by cyberark the global leader in privileged access management together cyberark and idaptive will deliver the industrys only modern identity platform with a securityfirst approach our comprehensive saas solution runs primarily on amazon aws and provides a multitenant highly scalable environment spanning multiple regions and leveraging a wide range of amazons aws technologies traditional container based and serverless idaptive is looking for talented motivated individuals who would like to help us design build support the next generation of integrated software solutions as we redefine security from a legacy static perimeterbased approach to protecting millions of scattered connections in a boundaryless hybrid enterprise our software runs on public clouds with 999 or better uptime and is mission critical for our customers our cloud operations team is where the rubber meets the road and needs innovative sres join a professional team of smart and hardworking professionals building enterpriseclass cloudbased services in the rapidly growing market of identity and access management as a devops engineer youll be part of the cloud operations team together with the team youll be responsible for maintaining monitoring and alerting on our application uptime and manage deployment and escalations responsibilities  support mission critical customer facing production environments  improve our cicd pipeline for reliability and scalability  improve our cloud infrastructure aws monitoring and overall stability of our platform  work closely with release engineering to support deploy maintain and troublehshoot our cicd pipeline  50 of your time should be spent automating the deployment pipeline to selfmanage and selfheal and the other 50 of your time dealing with software deploy incidents response oncall duty and manual intervention  participate in oncall rotation for 24x7 support requirements  bs or higher degree in computer science or other technical discipline or related practical experience  3 years professional sredevops experience  2 years experience in public clouds aws highly preferred  2 years experience with cicd pipeline automation preferable in aws  strong experience with cicd and infrastructureascode tools such as salt puppet chef jenkins bitbucket terraform consul vault  strong understanding of containerization technologies like docker kubernetes ecs eks  strong understanding and knowledge of modern monitoring and logging tools such as elk stack nagios prometheus grafana aws cloudwatch  proficient in managing windows and linux servers  familiar with aws ecosystem including es rds s3 elb elasticacheredis cloudtrail guardduty inspector  scripting skills python powershell bash  experience with database and caching rds postgres elasticacheredis  excellent communication and documentation skills  attention to detail ability to multitask and strong interpersonal skills required,"Hyderabad, India",Hybrid,2,"['bash', 'bitbucket', 'windows', 'kubernetes', 'aws', 'python', 'jenkins', 'docker', 'terraform', 'powershell', 'serverless', 'linux']","Hyderabad, India",9
